title,descr,price,img-src
Papas Corral Grandes,"Las papas más crocantes, para acompañar lo que más te gusta.",$ 8.500,https://images.rappi.com/products/tmp5833734812591662868425934863.png?d=300x300&e=webp&q=10
Yuca Con Suero,Crocantes yucas para que acompañes lo que más te gusta,$ 11.000,https://images.rappi.com/products/tmp8065115911091294899136763096.png?d=300x300&e=webp&q=10
Papas Corral Medianas,"Las papas más crocantes, para acompañar lo que más te gusta",$ 7.000,https://images.rappi.com/products/tmp5833734213891733836438918931.png?d=300x300&e=webp&q=10
Yucas Sin Suero,Crocantes yucas para que acompañes lo que más te gusta,$ 9.500,https://images.rappi.com/products/tmp5833737616822872372193170065.png?d=300x300&e=webp&q=10
Papas En Casco Grandes,"Las papas en cascos más crocantes, para acompañar lo que más te gusta",$ 8.500,https://images.rappi.com/products/tmp583373549879042035899959314.png?d=300x300&e=webp&q=10
Papas En Casco Medianas,"Las papas en cascos más crocantes, para acompañar lo que más te gusta",$ 7.000,https://images.rappi.com/products/tmp5833736011729201909968760321.png?d=300x300&e=webp&q=10
Anillos De Cebolla,Crujientes anillos de cebolla apanados,$ 12.000,https://images.rappi.com/products/tmp5833736815101740749116920445.png?d=300x300&e=webp&q=10
